rowid,koi_fpflag_nt,koi_score,koi_period,koi_dikco_msky,koi_fpflag_co,koi_fpflag_ss,koi_num_transits,koi_count,koi_steff_err1,koi_fpflag_ec,koi_srho_err2,kepid,koi_fwm_sdeco,koi_depth,koi_dikco_mra_err,koi_fwm_stat_sig,koi_prad_err1,koi_dicco_msky,koi_smet_err2,koi_ror,koi_dikco_msky_err,koi_prad,koi_dor,classification,koi_pdisposition
8647,0,0.99,7.7021729,0.87,0,0,172.0,1,76.0,0,-0.19492,8167504,0.9,74.6,0.81,0.099,0.12,0.93,-0.15,0.008061,0.9,0.85,12.86,1,CANDIDATE
8648,0,0.167,0.78430061,1.8125658216588836,0,1,261.0,1,154.0,0,-0.00477,8953281,1.0,254.7,0.4253372248165444,0.0,0.14,1.8665610708310096,-0.3,0.015394,0.4760600400266844,1.14,1.762,0,FALSE POSITIVE
8649,0,0.0,2.665875491,0.124,0,1,265.0,1,195.0,0,-0.00206,8953426,0.02803,161390.0,0.072,0.15099363807728558,22.81,0.051,-0.3,0.532779,0.072,67.43,3.5585,0,FALSE POSITIVE
8650,0,0.0,2.6658312,1.36,0,0,265.0,1,198.0,1,-0.01359,8953475,3.3,40.8,0.6,0.0,0.27,1.29,-0.3,0.006683,0.47,0.99,2.04,0,FALSE POSITIVE
8651,1,0.0,1.5765874,0.5,0,0,858.0,1,160.0,0,-0.00093,8957572,-0.69,29.2,0.76,0.003,1.98,0.54,-0.25,0.045763,0.72,15.68,1.044,0,FALSE POSITIVE
8652,0,0.842,2.52557582,2.7,0,0,539.0,1,78.0,0,-0.75888,8958811,2.6,35.4,0.74,0.0,0.1,2.39,-0.15,0.005487,0.88,0.62,7.8,1,CANDIDATE
8653,0,0.4808294015396076,8.2927558,0.98,0,0,158.0,2,151.0,0,-0.07223,8958939,1.5,103.3,0.87,0.083,0.31,0.97,-0.3,0.009775,0.81,1.01,10.43,1,CANDIDATE
8654,0,0.4808294015396076,22.786522,0.81,0,0,61.0,2,151.0,0,-14.93389,8958939,0.8,228.3,0.66,0.546,0.44,0.81,-0.3,0.014069,0.72,1.45,74.4,1,CANDIDATE
8655,0,0.4808294015396076,28.02789136,0.137,0,1,49.0,1,161.0,0,-0.00025,8973000,0.0465,243230.0,0.074,0.0,1.55,0.014,-0.3,0.526828,0.07,31.3,17.108,0,FALSE POSITIVE
8656,0,0.0,2.028512246,0.207,0,1,662.0,1,164.0,0,-0.00443,9881258,-0.11965,121560.0,0.067,0.0,15.11,0.003,-0.3,0.449196,0.067,50.28,3.753,0,FALSE POSITIVE
8657,0,0.0,1.33256167,1.04,1,0,1008.0,1,145.0,1,-0.11235,9899153,-2.4,59.5,0.72,0.15099363807728558,0.06,11.94,-0.3,0.006993,0.74,0.63,2.6,0,FALSE POSITIVE
8658,0,0.0,1.332567821,2.37,1,0,1010.0,1,161.0,1,0.0,9899193,2.47,31.0,0.65,0.0,0.2,2.39,-0.3,0.005219,0.6,0.96,2.761649,0,FALSE POSITIVE
8659,0,0.0,1.332545609,1.01,1,0,938.0,1,153.0,1,-0.03021,9899410,0.15,278.2,0.86,0.0,1.65,1.06,-0.3,0.015757,1.0,28.37,2.25,0,FALSE POSITIVE
8660,0,0.0,1.33256256,6.4,1,0,491.0,1,64.0,1,-0.24092,9899421,-0.68,174.9,0.55,0.0,2.03,6.5,-0.1,0.011665,1.4,16.03,3.359,0,FALSE POSITIVE
8661,0,0.0,1.33258981,2.99,1,0,1006.0,1,159.0,1,-0.0777,9899577,1.94,78.4,0.58,0.0,0.1,2.94,-0.3,0.007995,0.68,0.67,2.585,0,FALSE POSITIVE
8662,0,0.0,1.33258375,2.93,1,1,1006.0,1,171.0,1,-0.0522,9899583,1.61,60.9,0.75,0.0,0.27,2.9,-0.35,0.007733,0.79,0.84,1.89,0,FALSE POSITIVE
8663,1,0.0,8.9648813,0.73,0,0,125.0,1,132.0,0,-0.0001,9906489,0.52,454.5,0.56,0.0,5.8,0.68,-0.3,0.228932,0.45,28.97,1.241,0,FALSE POSITIVE
8664,0,0.756,1.284241817,0.69,0,0,837.0,1,157.0,0,-0.62855,10815677,-0.9,166.5,0.93,0.35,0.34,0.86,-0.3,0.011768,0.93,1.18,5.08,1,CANDIDATE
8665,0,0.008,2.161583501,0.36,0,1,492.0,1,177.0,0,-0.01427,10816107,-0.2851,50163.0,0.068,0.0,9.62,0.121,-0.25,0.22245,0.067,29.61,4.1422,0,FALSE POSITIVE
8666,0,0.994,8.7396758,0.61,0,0,33.0,2,154.0,0,-0.02446,10843431,1.1,1431.0,0.23,0.687,0.26,0.62,-0.3,0.047917,0.38,3.29,7.43,1,CANDIDATE
8667,1,0.0,0.535493486,2.2,0,0,2002.0,1,177.0,0,-0.23415,10847907,-0.7,54.0,0.55,0.977,0.4,1.85,-0.3,0.00696,0.36,1.42,1.527,0,FALSE POSITIVE
