rowid,koi_fpflag_nt,koi_score,koi_period,koi_dikco_msky,koi_fpflag_co,koi_fpflag_ss,koi_num_transits,koi_count,koi_steff_err1,koi_fpflag_ec,koi_srho_err2,kepid,koi_fwm_sdeco,koi_depth,koi_dikco_mra_err,koi_fwm_stat_sig,koi_prad_err1,koi_dicco_msky,koi_smet_err2,koi_ror,koi_dikco_msky_err,koi_prad,koi_dor,classification,koi_pdisposition
1154,0,0.0,191.239133,0.74,0,0,4.0,4,112.0,0,-0.02691,10028792,0.14,1061.2,0.96,0.342,0.56,0.66,-0.15,0.034854,0.95,6.47,47.5,1,CANDIDATE
1155,0,0.952,5.83393857,1.85,0,0,184.0,4,112.0,0,-0.03921,10028792,0.7,134.4,0.74,0.354,0.18,1.67,-0.15,0.010694,0.85,1.98,9.06,1,CANDIDATE
1156,0,0.0,24.3282251,4.815,1,1,56.0,1,159.0,0,-0.08684,5553652,4.4,1120.6,0.081,0.0,45.99,4.937,-0.3,3.451933,0.081,294.02,15.06,0,FALSE POSITIVE
1157,0,1.0,10.41572666,0.262,0,0,132.0,3,110.0,0,-1.22298,5299459,-0.2,825.3,0.092,0.137,0.39,0.148,-0.15,0.02789,0.1,3.01,22.1,1,CANDIDATE
1158,0,0.999,14.97031664,0.56,0,0,70.0,3,114.0,0,-0.12986,11153121,1.1,290.5,0.23,0.0,0.39,0.48,-0.15,0.015631,0.23,2.53,18.53,1,CANDIDATE
1159,0,0.987,32.2753853,1.18,0,0,30.0,3,114.0,0,-0.2061,11153121,2.77,223.9,0.68,0.0,0.35,1.15,-0.15,0.01424,0.76,2.31,23.22,1,CANDIDATE
1160,0,0.4808294015396076,6.33027476,2.5,0,0,153.0,3,173.0,0,-0.37959,11153121,0.6,89.2,0.52,0.324,0.38,2.4,-0.28,0.00871,1.3,1.02,12.58,1,CANDIDATE
1161,0,0.994,38.3262237,0.75,0,0,28.0,1,78.0,0,-0.14631,11177543,0.4,392.1,0.38,0.218,0.15,0.84,-0.15,0.02464,0.37,2.43,33.3,1,CANDIDATE
1162,0,0.992,4.04355245,0.76,0,0,265.0,1,77.0,0,-0.31936,11337141,-0.75,416.2,0.29,0.004,0.14,0.61,-0.15,0.030112,0.23,1.75,4.9,1,CANDIDATE
1163,0,1.0,5.59728249,0.14,0,0,200.0,1,177.0,0,-0.41467,6705142,1.44,1407.3,0.24,0.0,0.69,3.99,-0.3,0.034955,0.28,3.28,21.94,1,CANDIDATE
1164,0,0.677,5.52418625,0.68,0,0,194.0,2,79.0,0,-0.27586,3967760,-0.4,491.0,0.19,0.0,0.27,0.75,-0.15,0.02055,0.23,2.25,13.37,1,CANDIDATE
1165,0,0.972,8.77514782,0.7,0,0,119.0,2,79.0,0,-0.32419,3967760,0.3,351.9,0.46,0.199,0.23,0.62,-0.15,0.017427,0.45,1.91,18.68,1,CANDIDATE
1166,0,1.0,10.12742274,0.32,0,1,102.0,1,157.0,0,-16.72355,4067336,0.13,933.5,0.2,0.197,1.13,0.26,-0.35,0.029978,0.2,3.8,46.1,0,FALSE POSITIVE
1167,0,0.406,0.870693883,0.96,1,0,1533.0,1,160.0,0,-0.46792,5387843,0.28,438.5,0.11,0.0,0.62,0.99,-0.3,0.021683,0.13,2.09,3.37,0,FALSE POSITIVE
1168,0,1.0,27.5071114,0.43,0,0,48.0,1,157.0,0,-0.05851,7549209,-0.74,580.7,0.12,0.054,0.81,0.33,-0.3,0.026833,0.15,2.58,16.41,1,CANDIDATE
1169,0,1.0,5.1443645,0.55,0,0,261.0,2,77.0,0,-0.80372,7663405,0.62,310.7,0.57,0.011,0.11,0.47,-0.1,0.015692,0.35,1.55,14.77,1,CANDIDATE
1170,0,1.0,18.45848388,0.27,0,0,73.0,1,85.0,0,-0.08815,9765975,-0.02,535.3,0.33,0.0,0.21,0.02,-0.15,0.024147,0.4,2.5,25.0,1,CANDIDATE
1171,0,1.0,25.9421582,0.15,0,0,50.0,1,82.0,0,-0.04275,9818462,-0.11,569.7,0.14,0.35,0.16,0.07,-0.15,0.022458,0.14,1.95,41.4,1,CANDIDATE
1172,0,1.0,21.06075303,0.45,0,0,65.0,1,114.0,0,-0.38825,6803202,-0.13,301.2,0.2,0.07,0.26,0.35,-0.15,0.015768,0.2,1.78,30.68,1,CANDIDATE
1173,0,1.0,13.08424286,0.45,0,0,102.0,3,110.0,0,-0.18735,5299459,-0.45,662.0,0.12,0.409,0.35,0.26,-0.15,0.025138,0.11,2.71,24.6,1,CANDIDATE
1174,0,0.995,2.684328541,0.032,0,0,501.0,1,74.0,0,-0.00075,9651668,0.0445,18136.0,0.067,0.0,1.6,0.008,-0.15,0.121923,0.067,12.73,8.546,1,CANDIDATE
1175,0,0.4808294015396076,23.3397956,1.8125658216588836,0,0,385.00676798860127,3,162.0,0,-8.9565,5299459,-0.1658165901855308,125.1,0.4253372248165444,0.15099363807728558,0.47,1.8665610708310096,-0.26,0.010418,0.4760600400266844,1.23,82.7,1,CANDIDATE
1176,0,1.0,2.806243488,0.37,0,0,472.0,1,83.0,0,-2.57501,12506770,0.42,599.6,0.53,0.007,0.06,0.29,-0.15,0.022156,0.33,1.41,13.469,1,CANDIDATE
1177,0,0.0,2.27190723,10.37,1,0,477.0,1,155.0,0,-0.03831,5629985,84.49,149.0,0.078,0.0,0.29,10.53,-0.3,0.011986,0.078,1.12,2.44,0,FALSE POSITIVE
1178,0,0.0,7.132351753,2.583,1,0,188.0,1,209.0,0,-0.00627,9898364,-2.11,744.1,0.094,0.0,13.6,2.567,-0.35,0.234114,0.076,49.34,4.92,0,FALSE POSITIVE
1179,0,1.0,6.53194024,0.24,0,0,129.0,2,85.0,0,-0.12393,11337372,-0.11,771.9,0.1,0.038,0.3,0.14,-0.15,0.028965,0.14,3.09,9.14,1,CANDIDATE
1180,0,0.994,51.3011844,0.25,0,0,21.0,1,162.0,0,-1.38959,11337833,-0.19,498.9,0.32,0.125,0.65,0.2,-0.3,0.020447,0.3,2.07,74.62,1,CANDIDATE
1181,0,0.0,1.097211085,0.533,0,1,974.0,1,62.0,0,-0.22987,11546211,0.5674,38946.0,0.073,0.0,1.87,0.066,-0.1,0.440466,0.071,16.07,4.56,0,FALSE POSITIVE
1182,0,1.0,0.938466959,0.32,0,0,1135.0,1,82.0,0,-1.46628,11547505,-0.21,217.4,0.15,0.08,0.24,0.04,-0.15,0.013337,0.16,1.58,5.6049,1,CANDIDATE
1183,0,0.996,51.3901452,0.44,0,0,17.0,1,81.0,0,-0.01112,4471747,0.4,494.0,0.36,0.958,0.63,0.48,-0.15,0.025685,0.35,3.62,26.0,1,CANDIDATE
1184,0,1.0,3.217518511,0.099,0,0,413.0,1,77.0,0,-0.06904,11502867,0.088,14319.0,0.069,0.0,1.51,0.006,-0.15,0.115425,0.068,11.38,10.662,1,CANDIDATE
1185,0,1.0,4.66271902,0.078,0,0,233.0,2,103.0,0,-0.14143,9909735,0.077,1630.6,0.072,0.15099363807728558,0.64,0.036,-0.15,0.037636,0.074,3.86,11.87,1,CANDIDATE
1186,0,1.0,11.8150174,0.01,0,0,85.0,2,103.0,0,-0.6259,9909735,-0.11,1003.0,0.12,0.15099363807728558,0.58,0.08,-0.15,0.033946,0.12,3.48,17.58,1,CANDIDATE
1187,0,1.0,7.834433676,0.52,0,0,135.0,3,98.0,0,-0.34525,11551692,0.481,2018.1,0.086,0.0,0.29,0.07,-0.15,0.04418,0.1,3.47,15.79,1,CANDIDATE
1188,0,1.0,3.005156911,0.3,0,0,342.0,3,98.0,0,-0.16905,11551692,0.483,691.6,0.11,0.016,0.18,0.22,-0.15,0.027938,0.11,2.2,6.55,1,CANDIDATE
1189,0,0.998,33.3856176,0.33,0,0,39.0,2,157.0,0,-0.06441,12266636,0.32,553.2,0.17,0.801,0.7,0.36,-0.3,0.022235,0.24,2.48,43.3,1,CANDIDATE
1190,0,0.0,8.48039789,1.16,1,0,128.0,1,164.0,1,-0.01494,9850893,-1.1,259.7,0.55,0.003,0.48,1.25,-0.25,0.014903,0.8,1.71,9.26,0,FALSE POSITIVE
1191,0,0.0,1.333395306,8.017,1,0,1009.0,1,171.0,0,-6.62948,4826110,-16.1,114.5,0.082,0.0,0.1,8.012,-0.3,0.009657,0.082,0.86,8.581,0,FALSE POSITIVE
1192,0,1.0,7.71467686,0.4,0,0,180.0,2,184.0,0,-0.0302,7869917,0.2,233.9,0.14,0.797,0.93,0.16,-0.3,0.016382,0.19,4.65,6.15,1,CANDIDATE
1193,0,1.0,4.4444826,0.19,0,0,302.0,1,174.0,0,-0.01165,9824805,0.03,163.0,0.24,0.412,0.5,0.23,-0.35,0.01451,0.24,1.71,3.62,1,CANDIDATE
1194,0,0.0,21.3781146,7.55,1,1,52.0,1,174.0,1,-0.00145,5193400,5.84,556.1,0.35,0.0,0.94,7.87,-0.3,0.025739,0.3,3.18,4.16,0,FALSE POSITIVE
1195,0,1.0,29.5422566,0.17,0,0,46.0,2,166.0,0,-0.00189,7939330,-0.9,879.9,0.17,0.15099363807728558,0.73,0.22,-0.3,0.035889,0.17,3.15,6.444,1,CANDIDATE
1196,0,0.994,144.551628,0.23,0,0,10.0,2,166.0,0,-0.02315,7939330,-0.22,1035.2,0.48,0.15099363807728558,0.71,0.38,-0.3,0.034847,0.45,3.06,35.5,1,CANDIDATE
1197,0,1.0,186.4361811,0.35,0,0,8.0,1,80.0,0,-0.42986,4918309,-0.52,4347.0,0.15,0.0,1.8,0.29,-0.1,0.075675,0.15,11.32,137.19,1,CANDIDATE
1198,0,1.0,8.04727721,0.14,0,0,166.0,1,145.0,0,-0.01616,12602568,1.25,486.0,0.16,0.412,0.65,0.15,-0.3,0.025096,0.17,2.33,5.05,1,CANDIDATE
1199,0,0.998,5.87063416,0.48,0,0,230.0,1,83.0,0,-1.23692,9941066,0.83,505.6,0.17,0.006,0.06,0.53,-0.15,0.021514,0.22,1.44,13.88,1,CANDIDATE
1200,0,0.998,15.35876777,0.118,0,0,71.0,4,108.0,0,-0.06724,5972334,0.209,14638.0,0.074,0.0,1.11,0.148,-0.15,0.112441,0.079,10.89,28.47,1,CANDIDATE
1201,0,1.0,29.5390897,0.36,0,0,42.0,1,160.0,0,-1.26549,4650733,-0.76,403.3,0.46,0.014,0.79,0.24,-0.35,0.018587,0.61,2.51,54.3,1,CANDIDATE
1202,0,0.985,35.6364022,0.42,0,0,35.0,1,160.0,0,-1.15474,4830605,-0.8,452.6,0.56,0.387,0.48,0.25,-0.3,0.020525,0.59,1.99,43.6,1,CANDIDATE
1203,0,0.0,0.94773253,0.218,0,1,1411.0,1,170.0,0,-0.00463,4832197,-0.1658165901855308,11306.0,0.067,0.15099363807728558,11.38,0.036,-0.3,0.328908,0.068,45.58,2.76,0,FALSE POSITIVE
1204,0,0.0,0.784031658,0.35,0,1,683.0,1,179.0,0,-7.01635,4844004,-1.29,352.2,0.22,0.0,0.32,0.38,-0.3,0.017196,0.18,1.55,7.82,0,FALSE POSITIVE
1205,0,0.978,8.98128472,0.094,0,0,126.0,1,187.0,0,-0.11093,12120943,-0.46,4924.0,0.08,0.0,1.95,0.116,-0.3,0.064401,0.08,7.19,13.94,1,CANDIDATE
1206,0,1.0,13.07141889,0.23,0,0,98.0,2,136.0,0,-0.94297,7831264,-0.06,251.1,0.16,0.284,0.45,0.11,-0.15,0.015742,0.2,2.47,22.1,1,CANDIDATE
1207,0,0.0,0.692015479,0.458,0,1,964.0,1,74.0,0,-0.02471,9761199,0.013,4518.1,0.072,0.0,1.2,0.065,-0.15,0.355752,0.075,19.31,2.6,0,FALSE POSITIVE
1208,0,0.0,17.0421346,6.15,1,1,69.0,1,185.0,1,-0.01912,7751571,10.451,3616.7,0.17,0.0,0.95,1.04,-0.3,0.060851,0.28,5.14,12.42,0,FALSE POSITIVE
1209,0,0.0,7.94671044,0.257,0,1,164.0,1,146.0,0,-0.03156,9579499,0.072,6084.4,0.078,0.0,3.13,0.298,-0.3,0.357845,0.077,27.43,11.13,0,FALSE POSITIVE
1210,0,0.0,3.74781242,1.25,1,1,238.0,1,144.63555408970976,1,-0.01052,11913013,-1.54,5367.0,0.34,0.0,0.0,10.83,0.0,0.348356,0.47,38.04,2.95,0,FALSE POSITIVE
1211,0,0.99,192.667139,0.24,0,0,7.0,1,107.0,0,-0.42055,7768451,0.4,1148.3,0.2,0.035,0.37,0.5,-0.15,0.037986,0.22,3.64,134.3,1,CANDIDATE
1212,0,1.0,3.989544192,0.17,0,0,341.0,1,140.0,0,-3.62445,7691260,-0.51,190.0,0.21,0.009,0.14,0.18,-0.3,0.012443,0.32,0.93,19.33,1,CANDIDATE
1213,0,1.0,17.9776037,0.58,0,0,73.0,2,169.0,0,-0.08213,9821454,-0.3,213.9,0.45,0.545,0.49,0.46,-0.35,0.014377,0.34,1.58,21.31,1,CANDIDATE
1214,0,1.0,11.8693144,0.58,0,0,109.0,2,169.0,0,-0.30941,9821454,-0.51,101.9,0.55,0.016,0.34,0.71,-0.35,0.009947,0.8,1.09,13.63,1,CANDIDATE
1215,0,1.0,12.98494603,0.39,0,0,79.0,1,107.0,0,-0.84248,11954842,0.16,257.2,0.27,0.044,0.24,0.35,-0.15,0.01467,0.28,1.64,29.15,1,CANDIDATE
1216,0,0.004,7.300735516,0.103,0,1,188.0,1,153.0,0,-0.00508,7972785,0.0326,13052.0,0.067,0.0,4.55,0.005,-0.3,0.107197,0.069,13.32,9.795,0,FALSE POSITIVE
1217,0,1.0,19.17893976,0.21,0,0,68.0,1,173.0,0,-0.43124,5470739,-0.51,752.8,0.19,0.707,0.71,0.26,-0.3,0.024928,0.17,2.4,29.2,1,CANDIDATE
1218,0,1.0,6.99130452,0.27,0,0,157.0,1,144.0,0,-1.45422,10022908,-0.07,555.4,0.21,0.054,0.15,0.11,-0.3,0.023477,0.2,1.95,17.54,1,CANDIDATE
1219,0,0.0,52.971584,0.19,0,0,27.0,1,174.0,0,-0.3541,9932970,-0.57,3882.6,0.11,0.0,3.78,0.09,-0.3,0.336767,0.13,29.02,52.5,1,CANDIDATE
1220,0,1.0,3.517494725,0.71,0,0,384.0,1,82.0,0,-1.10732,5617854,0.91,532.8,0.11,0.053,0.07,0.1,-0.15,0.023021,0.11,1.42,12.12,1,CANDIDATE
1221,0,0.993,6.93365167,0.31,0,0,156.0,2,105.0,0,-0.0319,4932442,-0.49,119.6,0.51,0.01,0.26,0.3,-0.15,0.011969,0.53,1.7,5.31,1,CANDIDATE
1222,0,0.4808294015396076,5.91393977,1.8125658216588836,0,0,385.00676798860127,2,155.0,0,-283.25433,4932442,-0.1658165901855308,84.0,0.4253372248165444,0.15099363807728558,0.55,1.8665610708310096,-0.35,0.00867,0.4760600400266844,1.07,80.7,1,CANDIDATE
1223,0,0.989,61.0373591,0.5,0,0,22.0,1,75.0,0,-0.30471,5183357,-0.17,437.5,0.11,0.196,0.59,0.54,-0.15,0.019179,0.32,3.38,56.59,1,CANDIDATE
1224,0,0.991,33.8677783,0.19,0,0,41.0,1,134.0,0,-1.28564,5269467,0.3,894.8,0.22,0.014,0.14,0.33,-0.3,0.030574,0.21,2.31,46.2,1,CANDIDATE
1225,0,1.0,14.62399621,0.09,0,0,92.0,1,155.0,0,-0.15748,5360920,-0.18,1082.0,0.25,0.202,5.02,0.24,-0.3,0.246245,0.27,21.92,15.45,1,CANDIDATE
1226,0,0.0,1064.268096,0.109,0,1,3.0,1,204.0,0,-0.07809,7672940,0.0692,22772.0,0.091,0.281,7.31,0.062,-0.3,0.141743,0.091,33.63,739.3,0,FALSE POSITIVE
1227,0,0.0,2.113202658,1.8125658216588836,1,0,535.0,1,197.0,1,-0.10922,7838655,32.43,2104.8,0.4253372248165444,0.0,47.2,1.8665610708310096,-0.3,2.216856,0.4760600400266844,207.71,3.92,0,FALSE POSITIVE
1228,0,0.0,9.771462706,0.027,0,0,108.0,1,145.0,0,-0.48319,11702948,0.005,6933.2,0.069,0.004,2.52,0.003,-0.3,0.108981,0.072,10.15,24.44,1,CANDIDATE
1229,0,0.998,281.5628889,0.088,0,0,4.0,1,76.0,0,-0.12792,9512981,-0.041,21012.0,0.071,0.161,0.37,0.048,-0.15,0.127752,0.072,10.83,274.01,1,CANDIDATE
1230,0,0.0,1.157808038,9.41,1,1,979.0,1,166.0,1,-0.0074,7770450,-9.4,866.7,0.19,0.15099363807728558,6.12,9.37,-0.3,0.236655,0.3,22.9,1.396,0,FALSE POSITIVE
1231,0,0.0,6.14281498,8.981,1,1,223.0,1,146.0,1,-0.16777,11455491,-66.32,122.0,0.068,0.0,0.41,8.987,-0.3,0.010721,0.068,1.82,7.72,0,FALSE POSITIVE
1232,0,1.0,5.69919592,0.38,0,0,235.0,1,101.0,0,-1.33368,11764462,0.27,159.4,0.18,0.264,0.16,0.1,-0.15,0.011409,0.23,1.16,18.429,1,CANDIDATE
1233,0,0.997,18.11473813,0.38,0,0,71.0,1,110.0,0,-0.03459,11656246,0.11,241.5,0.21,0.218,0.45,0.47,-0.15,0.016794,0.24,2.49,12.67,1,CANDIDATE
1234,0,1.0,6.24145791,0.44,0,0,216.0,1,79.0,0,-0.6484,7808587,0.13,163.7,0.17,0.829,0.26,0.46,-0.15,0.011618,0.17,1.6,15.566,1,CANDIDATE
1235,0,1.0,20.4222447,0.29,0,0,65.0,2,110.0,0,-0.21891,4741126,-0.02,189.3,0.16,0.783,0.31,0.15,-0.15,0.012581,0.2,1.78,25.36,1,CANDIDATE
1236,0,0.998,8.72585478,0.4,0,0,155.0,5,120.0,0,-0.00339,5301750,0.39,446.7,0.21,0.028,0.45,0.44,-0.15,0.023183,0.27,2.86,7.0,1,CANDIDATE
1237,0,1.0,12.88291395,0.42,0,0,103.0,5,120.0,0,-0.01869,5301750,0.07,460.5,0.25,0.0,0.49,0.38,-0.15,0.025515,0.27,3.15,6.24,1,CANDIDATE
1238,0,1.0,27.4345973,0.38,0,0,48.0,5,120.0,0,-0.72068,5301750,0.91,472.6,0.32,0.76,0.4,0.35,-0.15,0.020758,0.35,2.56,34.3,1,CANDIDATE
1239,0,0.996,4.22453631,0.2,0,0,275.0,5,120.0,0,-0.20457,5301750,0.14,159.1,0.49,0.311,0.25,0.16,-0.15,0.012939,0.45,1.6,6.15,1,CANDIDATE
1240,0,0.996,44.5520266,0.48,0,0,28.0,5,120.0,0,-0.67124,5301750,0.75,362.1,0.31,0.299,0.35,0.41,-0.15,0.018527,0.29,2.29,42.6,1,CANDIDATE
1241,0,0.994,52.069002,0.84,0,0,24.0,2,75.0,0,-5.167,5526717,-1.59,558.3,0.24,0.0,0.42,0.69,-0.15,0.021433,0.37,2.92,130.1,1,CANDIDATE
1242,0,0.996,2.418406841,0.21,0,0,426.0,4,108.0,0,-0.76116,5972334,0.18,665.4,0.81,0.063,0.23,0.34,-0.15,0.023206,0.62,2.25,9.131,1,CANDIDATE
1243,0,0.4808294015396076,8.51170088,1.8125658216588836,0,0,385.00676798860127,2,144.63555408970976,0,-5.488531670453316,5526717,-0.1658165901855308,23791.335898271922,0.4253372248165444,0.15099363807728558,17.65768394739702,1.8665610708310096,-0.2520326904217064,0.28364628616454735,0.4760600400266844,102.89177806760135,76.73633334039779,1,CANDIDATE
1244,0,0.0,5.0825188,8.43,1,0,262.0,1,152.0,1,-0.22714,5530882,9.26,105.0,0.44,0.0,0.24,8.54,-0.3,0.009622,0.58,0.88,10.11,0,FALSE POSITIVE
1245,0,1.0,6.93910337,0.39,0,0,196.0,4,72.0,0,-0.24495,5531953,-0.65,614.7,0.51,0.0,0.16,0.44,-0.15,0.030804,0.51,1.41,6.5,1,CANDIDATE
1246,0,0.997,9.11500269,0.29,0,0,147.0,1,160.0,0,-0.30808,6034945,0.14,268.3,0.16,0.113,0.56,0.38,-0.3,0.015881,0.17,1.78,11.63,1,CANDIDATE
1247,0,0.0,8.48031942,0.66,1,0,128.0,1,178.0,1,-0.00309,9851226,0.19,1426.7,0.28,0.0,1.38,0.65,-0.3,0.041943,0.26,4.54,4.474,0,FALSE POSITIVE
1248,0,1.0,13.7223682,0.07,0,0,97.0,2,113.0,0,-0.18908,8692861,-0.18,571.1,0.13,0.257,0.28,0.05,-0.15,0.021681,0.11,2.23,20.914,1,CANDIDATE
1249,0,0.0,3.582076914,1.8125658216588836,1,1,312.0,1,192.0,0,-0.00444,7543649,-12.601,1534.4,0.4253372248165444,0.15099363807728558,1.52,1.8665610708310096,-0.3,0.049191,0.4760600400266844,5.33,2.726,0,FALSE POSITIVE
1250,0,1.0,15.43400996,0.31,0,0,58.0,1,164.0,0,-0.03769,9480310,1.39,1785.9,0.17,0.0,1.27,3.06,-0.3,0.04136,0.15,4.3,21.2,1,CANDIDATE
1251,0,0.0,1.780984316,6.79,1,0,731.0,1,158.0,1,-0.41274,11858748,5.32,590.9,0.21,0.0,0.65,6.69,-0.3,0.024527,0.24,2.33,4.24,0,FALSE POSITIVE
1252,0,0.993,7.63846084,1.3,0,0,167.0,2,110.0,0,-0.16457,4741126,0.63,71.7,1.9,0.124,0.19,1.1,-0.15,0.007869,1.9,1.12,13.63,1,CANDIDATE
1253,0,0.956,70.6981724,0.84,0,0,18.0,1,104.0,0,-0.65134,11669125,0.15,357.7,0.22,0.023,0.22,0.6,-0.15,0.017221,0.25,1.63,82.82,1,CANDIDATE
1254,0,1.0,3.74443645,0.22,0,0,359.0,1,104.0,0,-0.44694,12159249,-0.45,73.3,0.29,0.003,0.18,0.29,-0.15,0.007798,0.27,1.1,9.75,1,CANDIDATE
1255,0,0.924,10.19154678,0.91,0,0,135.0,1,80.0,0,-0.14435,9872292,0.4,61.3,0.26,0.379,0.09,0.86,-0.15,0.007567,0.28,1.39,9.66,1,CANDIDATE
1256,0,0.0,10.5815819,0.043,0,1,100.0,1,219.0,0,-0.00535,9963461,0.04111,112640.0,0.067,0.15099363807728558,14.8,0.019,-0.3,0.310843,0.068,53.19,15.718,0,FALSE POSITIVE
1257,0,0.488,2.819453322,0.251,0,1,480.0,1,155.0,0,-0.02017,8081482,0.2225,71867.0,0.067,0.0,8.46,0.034,-0.3,0.254092,0.068,29.8,5.608,0,FALSE POSITIVE
1258,0,0.998,12.89006728,0.68,0,0,82.0,3,78.0,0,-1.00463,5542466,0.4,602.5,0.26,0.904,0.06,1.78,-0.15,0.021714,0.27,1.93,28.21,1,CANDIDATE
1259,0,0.0,23.21050996,0.06,0,0,48.0,1,161.0,0,-0.10274,4178389,-0.076,28737.0,0.068,0.0,5.53,0.156,-0.3,0.239908,0.068,21.19,45.346,1,CANDIDATE
1260,0,0.903,2.35574505,0.13,0,0,421.0,3,78.0,0,-0.63996,5542466,0.01,266.9,0.53,0.419,0.04,2.3,-0.15,0.015115,0.68,1.34,8.88,1,CANDIDATE
1261,0,0.996,4.74666128,0.91,0,0,192.0,3,78.0,0,-1.36465,5542466,-0.14,256.8,0.5,0.1,0.04,1.57,-0.15,0.014655,0.49,1.3,15.84,1,CANDIDATE
1262,0,1.0,19.65639342,0.19,0,0,55.0,1,159.0,0,-0.08522,10028140,-0.08,843.2,0.26,0.15099363807728558,0.43,0.24,-0.3,0.035083,0.69,2.83,18.66,1,CANDIDATE
1263,0,0.0,62.81584402,0.1,0,1,23.0,1,113.0,0,-0.09636,6048024,-0.091,1688.4,0.079,0.0,10.23,0.08,-0.15,0.353656,0.18,57.62,61.1,0,FALSE POSITIVE
1264,0,0.365,70.468171,0.11,0,0,18.0,1,158.0,0,-0.92324,6049190,-0.13,922.4,0.13,0.059,1.11,0.15,-0.3,0.027996,0.15,3.46,83.15,1,CANDIDATE
1265,1,0.4808294015396076,56.86716792,1.8125658216588836,0,0,385.00676798860127,1,144.63555408970976,0,-5.488531670453316,6149553,-0.1658165901855308,23791.335898271922,0.4253372248165444,0.15099363807728558,17.65768394739702,1.8665610708310096,-0.2520326904217064,0.28364628616454735,0.4760600400266844,102.89177806760135,76.73633334039779,0,FALSE POSITIVE
1266,0,1.0,3.93246069,0.29,0,0,347.0,1,144.0,0,-0.57485,6198999,-0.16,455.5,0.12,0.512,0.1,0.18,-0.3,0.019407,0.13,1.65,12.87,1,CANDIDATE
1267,0,1.0,0.921030497,0.03,0,0,1457.0,1,79.0,0,-0.15494,6310636,-0.14,101.5,0.22,0.0,0.25,0.11,-0.15,0.009158,0.25,1.62,2.786,1,CANDIDATE
1268,0,1.0,5.960400011,0.2,0,0,104.0,2,98.0,0,-0.00333,6616218,0.077,828.3,0.093,0.225,0.33,0.074,-0.15,0.029409,0.13,2.85,10.35,1,CANDIDATE
1269,0,0.936,85.3514875,0.137,0,0,17.0,1,75.0,0,-0.50665,7761545,0.23,4674.7,0.073,0.0,0.86,0.056,-0.15,0.06161,0.072,6.31,102.4237,1,CANDIDATE
1270,0,1.0,23.02028478,0.293,0,0,45.0,1,166.0,0,-0.62295,7499398,-1.13,5077.8,0.091,0.0,2.11,3.45,-0.3,0.072584,0.096,7.58,35.8,1,CANDIDATE
1271,0,0.985,69.72646639,0.109,0,0,20.0,1,77.0,0,-0.95533,12365184,0.522,4491.2,0.076,0.54,2.12,0.01,-0.15,0.061648,0.075,11.65,152.089,1,CANDIDATE
1272,0,1.0,1.609321941,0.13,0,0,751.0,3,84.0,0,-1.38779,4770365,-0.86,728.5,0.34,0.15099363807728558,0.07,0.45,-0.15,0.023817,0.27,1.57,7.856,1,CANDIDATE
1273,0,0.975,9.51220046,0.21,0,0,121.0,3,84.0,0,-1.26047,4770365,-0.95,1169.4,0.19,0.15099363807728558,0.08,0.51,-0.15,0.030147,0.17,1.99,25.17,1,CANDIDATE
1274,0,0.987,4.72941177,1.7,0,0,236.0,3,84.0,0,-1.9219,4770365,-1.38,434.3,1.1,0.15099363807728558,0.05,1.3,-0.15,0.018507,1.1,1.22,16.04,1,CANDIDATE
1275,0,0.913,4.887803076,4.3,0,0,215.0,1,86.0,0,-0.31849,10748390,2.8504,4315.8,1.4,0.0,0.17,6.6,-0.15,0.057823,1.2,4.82,16.7084,1,CANDIDATE
1276,0,0.761,4.437962934,0.085,0,0,238.0,1,105.0,0,-0.00068,11804465,0.0175,16388.0,0.072,0.018,2.92,0.002,-0.15,0.116814,0.07,18.05,8.0702,1,CANDIDATE
1277,0,0.999,20.74028645,0.149,0,0,52.0,2,112.0,0,-0.0171,9663113,-0.178,1023.3,0.098,0.0,0.75,0.12,-0.15,0.029861,0.096,4.24,14.28,1,CANDIDATE
1278,0,0.0,1.207852845,0.102,0,1,1083.0,1,186.0,0,-0.02599,5649956,-0.1277,49720.0,0.067,0.0,8.19,0.009,-0.3,0.443443,0.067,38.59,2.67,0,FALSE POSITIVE
1279,0,0.759,2.379282197,0.038,0,1,450.0,2,153.0,0,-0.01636,4840513,0.0814,48434.0,0.067,0.0,8.17,0.118,-0.35,0.20283,0.068,25.74,6.9257,0,FALSE POSITIVE
1280,0,0.0,26.0692512,3.56,1,0,51.0,1,152.0,0,-0.00131,5217586,-3.18,831.5,0.27,0.0,6.53,3.53,-0.25,0.237548,0.43,23.61,7.51,0,FALSE POSITIVE
1281,0,0.964,9.69501146,0.79,0,0,106.0,2,176.0,0,-0.99455,5289854,1.27,515.2,0.26,0.011,0.63,0.47,-0.3,0.020883,0.32,2.08,26.35,1,CANDIDATE
1282,0,1.0,15.3825394,0.47,0,0,65.0,2,176.0,0,-1.1097,5289854,0.63,550.5,0.62,0.641,0.64,0.25,-0.3,0.021393,0.54,2.14,31.47,1,CANDIDATE
1283,0,0.0,1.818939148,3.56,1,0,728.0,1,174.0,0,-1.87813,9895709,-3.14,331.2,0.12,0.0,0.55,3.51,-0.3,0.017318,0.1,1.82,7.22,0,FALSE POSITIVE
1284,0,1.0,40.1097817,0.11,0,0,34.0,1,82.0,0,-0.8737,10006581,0.12,732.0,0.15,0.15099363807728558,0.48,0.08,-0.1,0.024334,0.2,3.11,60.24,1,CANDIDATE
