pl_radeerr1,st_rad,pl_orbper,st_dist,st_disterr2,pl_trandep,pl_rade,st_pmra,pl_orbpererr2,pl_tranmiderr2,pl_tranmid,pl_eqt,st_tmag,pl_trandeperr1,pl_trandeperr2,pl_orbpererr1,st_logg,pl_insol,st_tefferr2,st_teff,st_disterr1,pl_trandurh,pl_trandurherr1,pl_tranmiderr1,classification,tfopwg_disp
0.1738907,1.60776,3.6404389,363.44,-4.983,476.3077321,3.7025342,-4.837,-8.2e-06,-0.002617,2460768.617,2783.098027,9.8174,35.1115139,-35.1115139,8.2e-06,4.43,9941.226551,-173.7,9810.0,4.983,2.5339234,0.5744699,0.002617,0,FP
11.697444,2.4303801,6.0744477,347.556,-13.63,5982.521241,30.9493217,-9.506,-5.9e-06,-0.000437,2459286.873,1583.93989,10.1126,93.93912,-93.93912,5.9e-06,3.7,1487.564434,-128.4,5964.0,13.63,2.4954821,0.0518881,0.000437,1,PC
0.311897,1.18,3.7795212,184.015,-0.962,2761.0,5.98375,10.992,-4e-06,-0.001095,2460037.172,1294.0,10.2855,60.2474,-60.2474,4e-06,4.31,466.528,-132.3,5771.0,0.962,2.952,0.158,0.001095,1,PC
1.99504,1.74,1.2025238,279.698,-3.279,390.0,6.31106,-19.687,-6.7e-06,-0.003174,2459331.125,5952.0,9.0211,107.57,-107.57,6.7e-06,4.32,208477.0,-171.4,9158.0,3.279,1.991,0.052,0.003174,0,FP
1.3680428730103202,2.17,3.2235985,280.765,-19.681833991538227,680.0,5.51341,-15.5,-1.38e-05,-0.002025,2459273.372,1274.598122689369,8.7157,1.13,-1.13,1.38e-05,4.09,2064.8,-239.9,8904.0,19.681833991538227,2.159,0.452,0.002025,0,FP
0.6518233,2.2186699,4.0872956,316.678,-2.9655,3572.17125,13.6237732,10.552,-2.3e-06,-0.000682,2460150.609,1755.076738,9.8638,35.689426,-35.689426,2.3e-06,3.93359,2242.36054,-200.91517836935745,6036.0,2.9655,5.586113,0.0508755,0.000682,1,KP
1.3680428730103202,6.04,2.55555,732.432,-32.449,340.0,11.5901,-11.78,-0.00045,-0.00497,2458520.657,2145.0,8.3854,1.37224,-1.37224,0.00045,4.308631089078234,3520.68,-123.0,10037.0,32.449,1.566,0.375,0.00497,0,FP
4.42399,3.05,8.30792,305.034,-2.981,8350.0,43.1068,-14.189,-0.00037,-0.0004,2459261.801,1924.0,8.0981,160.238,-160.238,0.00037,3.83,2276.25,-173.2,9081.0,2.981,3.228,0.089,0.0004,0,FP
0.6658212,3.5086601,0.758082,792.633,-19.4965,583.93181,10.1273702,-11.595,-7.3e-06,-0.001287,2459281.338,5499.747633,9.718,58.10249,-58.10249,7.3e-06,3.75,216218.1005,-199.6,9917.0,19.4965,1.8184632,0.1306038,0.001287,1,PC
0.26004,1.52,1.4415577,208.055,-1.1015,507.0,3.61078,-9.496,-7.4e-06,-0.003745,2459985.77,3174.0,9.5719,54.9645,-54.9645,7.4e-06,4.25,16861.8,-135.7,6902.0,1.1015,2.349,0.682,0.003745,0,FP
